SE2 1.0
5.5 6 0 
5.52969 11.6981 -0.545581 
5.59131 17.5645 -0.754206 
1.94904 18.3959 1.47794 
7.41623 16.8386 0.905284 
9.69636 17.3192 1.93832 
9.64429 12.6887 -1.66433 
9.84848 7.31294 -2.84708 
9.45328 3.1624 -2.17483 
14.8495 3.22527 2.95945 
17.9062 2.70372 1.93648 
17.5143 8.3364 2.58592 
17.5283 5.91462 -2.82031 
18.0582 11.3975 2.5377 
17.5 12.5 0.785398 

